question,options,correct_letter,original_letter,original_correct,word_perturbed_question,word_letter,word_perturbed_correct,char_perturbed_question,char_letter,char_perturbed_correct,clare_perturbed_question,clare_letter,clare_perturbed_correct,perturbation_pct
"Which of the following is a common osseous lesion in
periodontitis is","['Exostosis', 'crater', 'buttressing bone', 'hemiseptum']",B,B,1,"Which of the comply is a rough-cut bony wound in
periodontitis is",B,1,"WhiEh of the followifg is a commno osskous lesjon in
periodontiits is",A,0,"Which of many the following is a common osseous lesion in
periodontitis is",A,0,70
Migratory motor complexes in the gut reappear after intervals of:,"['60 minutes', '90 minutes', '120 minutes', '150 minutes']",B,B,1,migratory motive composite in the bowel re-emerge after interval of:,B,1,MigratoSy motYr ocmplexes in the gu rappear after intekrvals of:,B,1,As motor complexes in the gut reappear after intervals of:,B,1,70
Which of the following movement(s) is /are involved in the opening of the mouth?,"['Only hinge (rotation)', 'Only translation', 'Hinge followed by translation', 'Translation followed by hinge']",C,C,1,Which of the accompany campaign(s) is /are knotty in the possibility of the talk?,C,1,Whrch of the Hfollowing mvoement(s) is /are involed in the poening of the eouth?,C,1,Which of the following movement(s) is /are fully involved in the opening of the mouth?,C,1,70
A 6-month child presented with diarrhea and vomiting for three days. Which of the following enterotoxin is most likely responsible for the condition?,"['NSP4', 'NSP6', 'VP3', 'VP7']",A,A,1,a 6-month nipper show with diarrhoea and cast for trine years. Which of the pursuit enterotoxin is most belike creditworthy for the status?,A,1,A 6-nmonth chiJd zresented with diarreha and vomitxng for hree adys. WhiBh of the fololwing enterotoxiq is most likeyl respnsible for the conidtion?,A,1,A 6-month child presented with itching and vomiting for three days. Which of the following enterotoxin is most likely specifically responsible for the condition?,A,1,70
Which of the following is considered as high risk infant?,"['Working mother', 'Antenatal preeclampsia', 'Third child', 'Twins']",A,A,1,Which of the next is study as heights gamble babe?,C,0,Whuich of the followin is considerFed as hih irsk infnat?,A,1,Which of the following is considered as high risk breastfeeding infant?,A,1,70
The wave ' V ' in BERA represents activity in which of the following ?,"['Lateral lemniscus', 'Superior olivary complex', 'Cochlear nerve', 'Cochlear nucleus']",A,C,0,The waving ' Phoebe ' in BERA correspond activeness in which of the comply ?,A,1,TVhe wabve ' V ' in BEmA epresents actkvity in which of the followbing ?,B,0,The wave ' V ' in BERA represents activity in which comprises of the following ?,C,0,70
Child presents with hypotonia and seizures. It was confirmed to be zellweger syndrome. Which of the following accumulates in brain?,"['Glucose', 'Lactic acid', 'Long chain fatty acid', 'Triglycerides']",C,C,1,baby introduce with hypotonicity and seizure. IT was confirm to be zellweger syndrome. Which of the chase compile in psyche?,C,1,Chlid preesnts with hyoptonia and seizBures. AIt was conJfirmed to be zellwegr synvdrome. Wihch of the followiVng accumulatLes in brainn?,C,1,Amy presents with hypotonia and seizures. It was revealed to be zellweger syndrome. Which of the following accumulates in brain?,C,1,70
Postherpetic neuralgia is defined as pain lasting beyond how many weeks?,"['1 week', '2 weeks', '3 weeks', '4 weeks']",D,D,1,Postherpetic neuralgy is fix as annoyance go beyond how many workweek?,C,0,Postherpteic neKuralgia is Refined as pin lastign beyond how mny wees?,B,0,Postherpetic neuralgia is defined as pain lasting even how many weeks?,D,1,70
Which of the following is the most commonly used drug for management of community acquired pneumonia?,"['Vancomycin', 'Ceftriaxone', 'Azithromycin', 'Streptomycin']",C,C,1,Which of the succeed is the most usually apply dose for direction of community take pneumonia?,C,1,Nhich of the fzllowing is the most commDonly zused dru for mangement of commpunity acPquired pneumvonia?,A,0,Which of the supplements following is the most commonly used drug for management of community acquired pneumonia?,C,1,70
What would be the ideal management of a woman with infeilty who is detected to have bilateral cornual block on hysterosalpingography?,"['Tuboplasty', 'In-vitro feilization', 'Hydrotubation', 'Hysteroscopy and laparoscopy']",D,D,1,What would be the nonsuch direction of a womanhood with infeilty who is observe to have two-sided cornual embarrass on hysterosalpingography?,D,1,WUhat woulZ be the idsal mangement of a oman with infqeilty who is Idetected to have nbilateral cornWal blok on hysteroaslpingography?,D,1,What would be the ideal management of a woman with infeilty who is detected to have developing bilateral cornual block on hysterosalpingography?,D,1,70
What is the use of the given instrument:,"['To hold bone and plate', 'To hold bone fragments with traction', 'To cut the bone', 'For creating a gap in wound']",A,A,1,What is the habituate of the present tool:,A,1,Waht is the uHe of the givn instrumBent:,A,1,What is enabling the use of the given instrument:,A,1,70
